VLAN_CODE,VLAN_NAME,IP,MODELO,SERIE,UBICACION,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,TIPO
060,060 - Ag. AEP Urubamba,118.206.226.68,MX722adhe,74641101246L5,Sub Gerencia,Jr Sucre 348,Urubamba,Urubamba,Cusco,Contrato 2021
081,081 - Ag. Bagua Grande,118.205.90.68,MX722adhe,7464939022R4B,Sub Gerencia,av Chachapoyas 2044 Sector Visalot,Bagua Grande,Utcubamba,Amazonas,Contrato 2021
081,081 - Ag. Bagua Grande,118.205.90.69,MX722adhe,7464939022P66,Plataforma,av Chachapoyas 2044 Sector Visalot,Bagua Grande,Utcubamba,Amazonas,Contrato 2021
083,083 - Ag. Real Plaza Cusco,118.205.92.68,MX722adhe,7464939022PCF,Operaciones,av Collasuyo 2964,Cusco,Cusco,Cusco,Contrato 2021
083,083 - Ag. Real Plaza Cusco,118.205.92.69,MX722adhe,7464939022R0C,Operaciones,av Collasuyo 2964,Cusco,Cusco,Cusco,Contrato 2021
091,091 - Ag. Banca Privada Pardo y Aliaga,118.205.4.70,CX625adhe,75299291450T4,Ejecutivos,av Pardo y Aliaga 652 2 P,San Isidro,Lima,Lima,Contrato 2021
091,091 - Ag. Banca Privada Pardo y Aliaga,118.205.4.68,MX722adhe,746410202417B,Sub Gerencia,av Pardo y Aliaga 652 2 P,San Isidro,Lima,Lima,Contrato 2021
091,091 - Ag. Banca Privada Pardo y Aliaga,118.205.4.69,MX722adhe,746410202416N,Recepcion,av Pardo y Aliaga 652 2 P,San Isidro,Lima,Lima,Contrato 2021
094,094 - Ag. Real Plaza Salaverry,118.205.98.68,MX722adhe,746410202418N,Sub Gerencia,av Salaverry 2370,Jesus Maria,Lima,Lima,Contrato 2021
094,094 - Ag. Real Plaza Salaverry,118.205.98.69,MX722adhe,74641020241CW,Banca Comercial,av Salaverry 2370,Jesus Maria,Lima,Lima,Contrato 2021
